Target Contract,Source Contract,# Covered Function,Covered Historical Tx (%)
CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,3,0.1031031031031031
CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,4,0.1041041041041041
CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,6,0.11411411411411411
CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,4,0.1061061061061061
CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,IO_0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA,4,0.1041041041041041
CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,4,0.1061061061061061
CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,4,0.1031031031031031
CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,4,0.1041041041041041
CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,5,0.11411411411411411
mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,3,0.02108433734939759
mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,4,0.02108433734939759
mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,3,0.02108433734939759
mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,4,0.02108433734939759
mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,6,0.9969879518072289
mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,IO_0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA,3,0.02108433734939759
mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,5,0.02108433734939759
mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,3,0.02108433734939759
mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,3,0.02108433734939759
Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,4,0.8551307847082495
Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,6,0.8591549295774648
Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,4,0.8501006036217303
Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,5,0.09456740442655935
Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,4,0.09356136820925554
Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,IO_0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA,4,0.09356136820925554
Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,5,0.8561368209255533
Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,6,0.9406438631790744
Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,3,0.0875251509054326
MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,4,0.996996996996997
MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,6,0.996996996996997
MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,4,0.995995995995996
MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,6,0.018018018018018018
MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,4,0.018018018018018018
MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,IO_0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA,5,0.018018018018018018
MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,5,0.996996996996997
MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,7,0.996996996996997
MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,3,0.01701701701701702
CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,3,0.24424424424424424
